episode_id,agent,maze,total_steps,final_score,foods_eaten,died,avg_dist_to_food,direction_changes,dead_end_entries,path_optimality,steps_per_food,anomaly_score,is_anomaly
1,AStar,Maze1_easy.txt,2000,520,52,0,25.0835,99,0,1.0,38.46,0.1885374525361903,0.0
2,AStar,Maze1_easy.txt,2000,560,56,0,22.642,102,0,1.0,35.71,0.19800289954498773,0.0
3,AStar,Maze1_easy.txt,2000,500,50,0,24.2355,97,0,1.0,40.0,0.18058522918250242,0.0
4,AStar,Maze1_easy.txt,2000,550,55,0,23.232,99,0,1.0,36.36,0.19936721852578626,0.0
5,AStar,Maze1_easy.txt,2000,570,57,0,22.7485,101,0,1.0,35.09,0.18447727468747782,0.0
6,AStar,Maze1_easy.txt,2000,590,59,0,21.5785,113,0,1.0,33.9,0.16517410658278198,0.0
7,AStar,Maze1_easy.txt,2000,570,57,0,22.913,104,0,1.0,35.09,0.18820966905205433,0.0
8,AStar,Maze1_easy.txt,2000,540,54,0,23.2305,102,0,1.0,37.04,0.20400999046092483,0.0
9,AStar,Maze1_easy.txt,2000,540,54,0,22.56,99,0,1.0,37.04,0.20209266126569086,0.0
10,AStar,Maze1_easy.txt,2000,490,49,0,24.5625,96,0,1.0,40.82,0.18408250923374508,0.0
11,AStar,Maze1_easy.txt,2000,590,59,0,22.0385,106,0,1.0,33.9,0.164130129934905,0.0
12,AStar,Maze1_easy.txt,2000,570,57,0,22.3415,110,0,1.0,35.09,0.1916882746228959,0.0
13,AStar,Maze1_easy.txt,2000,590,59,0,21.7685,112,0,1.0,33.9,0.16785547720818345,0.0
14,AStar,Maze1_easy.txt,2000,510,51,0,23.7145,92,0,1.0,39.22,0.18354352856486145,0.0
15,AStar,Maze1_easy.txt,2000,520,52,0,23.579,97,0,1.0,38.46,0.20427797152330646,0.0
16,AStar,Maze1_easy.txt,2000,480,48,0,26.739,87,0,1.0,41.67,0.12785866947684738,0.0
17,AStar,Maze1_easy.txt,2000,500,50,0,25.6145,97,0,1.0,40.0,0.16961757361128904,0.0
18,AStar,Maze1_easy.txt,2000,470,47,0,27.8175,92,0,1.0,42.55,0.09998511670132271,0.0
19,AStar,Maze1_easy.txt,2000,680,68,0,19.371,131,0,1.0,29.41,-0.01886801462047638,1.0
20,AStar,Maze1_easy.txt,2000,510,51,0,24.4525,91,0,1.0,39.22,0.17908409000180198,0.0
21,AStar,Maze1_easy.txt,2000,540,54,0,23.46,102,0,1.0,37.04,0.20112495915396933,0.0
22,AStar,Maze1_easy.txt,2000,510,51,0,25.5195,97,0,1.0,39.22,0.17472234511556473,0.0
23,AStar,Maze1_easy.txt,2000,530,53,0,24.705,101,0,1.0,37.74,0.19695021452669742,0.0
24,AStar,Maze1_easy.txt,2000,630,63,0,20.9315,119,0,1.0,31.75,0.07218989879599447,0.0
25,AStar,Maze1_easy.txt,2000,480,48,0,25.003,91,0,1.0,41.67,0.15780483334015005,0.0
26,AStar,Maze1_easy.txt,2000,540,54,0,23.3555,102,0,1.0,37.04,0.20418347686520644,0.0
27,AStar,Maze1_easy.txt,2000,600,60,0,21.1795,109,0,1.0,33.33,0.13234932532656052,0.0
28,AStar,Maze1_easy.txt,2000,490,49,0,24.6795,95,0,1.0,40.82,0.18508822536271274,0.0
29,AStar,Maze1_easy.txt,2000,530,53,0,23.5475,97,0,1.0,37.74,0.2033726553469251,0.0
30,AStar,Maze1_easy.txt,2000,580,58,0,21.6325,109,0,1.0,34.48,0.17120123660808878,0.0
31,AStar,Maze1_easy.txt,2000,530,53,0,23.473,100,0,1.0,37.74,0.20542033504243634,0.0
32,AStar,Maze1_easy.txt,2000,550,55,0,22.865,108,0,1.0,36.36,0.2036931808347628,0.0
33,AStar,Maze1_easy.txt,2000,490,49,0,24.2705,90,0,1.0,40.82,0.17497143076538085,0.0
34,AStar,Maze1_easy.txt,2000,490,49,0,23.901,94,0,1.0,40.82,0.17877430882331663,0.0
