episode_id,agent,maze,total_steps,final_score,foods_eaten,died,avg_dist_to_food,direction_changes,dead_end_entries,path_optimality,steps_per_food
1,AStar,Maze1_easy.txt,2000,520,52,0,25.0835,99,0,1.0,38.46
2,AStar,Maze1_easy.txt,2000,560,56,0,22.642,102,0,1.0,35.71
3,AStar,Maze1_easy.txt,2000,500,50,0,24.2355,97,0,1.0,40.0
4,AStar,Maze1_easy.txt,2000,550,55,0,23.232,99,0,1.0,36.36
5,AStar,Maze1_easy.txt,2000,570,57,0,22.7485,101,0,1.0,35.09
6,AStar,Maze1_easy.txt,2000,590,59,0,21.5785,113,0,1.0,33.9
7,AStar,Maze1_easy.txt,2000,570,57,0,22.913,104,0,1.0,35.09
8,AStar,Maze1_easy.txt,2000,540,54,0,23.2305,102,0,1.0,37.04
9,AStar,Maze1_easy.txt,2000,540,54,0,22.56,99,0,1.0,37.04
10,AStar,Maze1_easy.txt,2000,490,49,0,24.5625,96,0,1.0,40.82
11,AStar,Maze1_easy.txt,2000,590,59,0,22.0385,106,0,1.0,33.9
12,AStar,Maze1_easy.txt,2000,570,57,0,22.3415,110,0,1.0,35.09
13,AStar,Maze1_easy.txt,2000,590,59,0,21.7685,112,0,1.0,33.9
14,AStar,Maze1_easy.txt,2000,510,51,0,23.7145,92,0,1.0,39.22
15,AStar,Maze1_easy.txt,2000,520,52,0,23.579,97,0,1.0,38.46
16,AStar,Maze1_easy.txt,2000,480,48,0,26.739,87,0,1.0,41.67
17,AStar,Maze1_easy.txt,2000,500,50,0,25.6145,97,0,1.0,40.0
18,AStar,Maze1_easy.txt,2000,470,47,0,27.8175,92,0,1.0,42.55
19,AStar,Maze1_easy.txt,2000,680,68,0,19.371,131,0,1.0,29.41
20,AStar,Maze1_easy.txt,2000,510,51,0,24.4525,91,0,1.0,39.22
21,AStar,Maze1_easy.txt,2000,540,54,0,23.46,102,0,1.0,37.04
22,AStar,Maze1_easy.txt,2000,510,51,0,25.5195,97,0,1.0,39.22
